select * from call_center            order by cc_call_center_id desc limit 100;
select * from catalog_page           order by cp_catalog_page_id desc limit 100;
select * from catalog_returns        order by cr_returned_date_sk desc limit 100;
select * from catalog_sales          order by cs_sold_date_sk desc limit 100;
select * from customer_address       order by ca_address_id desc limit 100;
select * from customer_demographics  order by cd_demo_sk desc limit 100;
select * from customer               order by c_customer_id desc limit 100;
select * from date_dim               order by d_date_id desc limit 100;
select * from household_demographics order by hd_demo_sk desc limit 100;
select * from income_band            order by ib_income_band_sk desc limit 100;
select * from inventory              order by inv_item_sk desc limit 100;
select * from item                   order by i_item_id desc limit 100;
select * from promotion              order by p_promo_id desc limit 100;
select * from reason                 order by r_reason_id desc limit 100;
select * from ship_mode              order by sm_ship_mode_id desc limit 100;
select * from store_returns          order by sr_returned_date_sk desc limit 100;
select * from store_sales            order by ss_sold_date_sk desc limit 100;
select * from store                  order by s_store_id desc limit 100;
select * from time_dim               order by t_time_id desc limit 100;
select * from warehouse              order by w_warehouse_id desc limit 100;
select * from web_page               order by wp_web_page_id desc limit 100;
select * from web_returns            order by wr_returned_date_sk desc limit 100;
select * from web_sales              order by ws_sold_date_sk desc limit 100;
select * from web_site               order by web_site_id desc limit 100;
[01/07/2025 16:48:51.634] Run benchmark sql from /disk/nvme0n1/jasong/tpcds/sql/standard
[01/07/2025 16:48:53.667] [Query1]duration: 1940ms, status: 0
[01/07/2025 16:54:13.371] [Query47]duration: 5429ms, status: 0
[01/07/2025 16:54:20.892] [Query48]duration: 7433ms, status: 0
[01/07/2025 16:54:23.745] [Query49]duration: 2750ms, status: 0
[01/07/2025 16:54:26.186] [Query50]duration: 2347ms, status: 0
[01/07/2025 16:54:40.204] [Query51]duration: 13931ms, status: 0
[01/07/2025 16:54:41.196] [Query52]duration: 906ms, status: 0
[01/07/2025 16:54:45.474] [Query53]duration: 4189ms, status: 0
[01/07/2025 16:54:47.790] [Query54]duration: 2227ms, status: 0
[01/07/2025 16:54:48.794] [Query55]duration: 914ms, status: 0
[01/07/2025 16:54:50.824] [Query56]duration: 1942ms, status: 0
[01/07/2025 16:55:28.875] [Query57]duration: 37964ms, status: 241
[01/07/2025 16:55:33.121] [Query58]duration: 4153ms, status: 0
[01/07/2025 16:55:39.256] [Query59]duration: 6036ms, status: 0
[01/07/2025 16:55:42.319] [Query60]duration: 2974ms, status: 0
[01/07/2025 16:55:47.315] [Query61]duration: 4902ms, status: 0
[01/07/2025 16:55:48.509] [Query62]duration: 1107ms, status: 0
[01/07/2025 16:55:52.774] [Query63]duration: 4171ms, status: 0
[01/07/2025 16:55:59.164] [Query64]duration: 6301ms, status: 0
[01/07/2025 16:56:06.760] [Query65]duration: 7508ms, status: 0
[01/07/2025 16:56:08.683] [Query66]duration: 1830ms, status: 0
[01/07/2025 16:56:27.972] [Query67]duration: 19193ms, status: 0
[01/07/2025 16:56:32.121] [Query68]duration: 4061ms, status: 0
[01/07/2025 16:56:34.362] [Query69]duration: 2153ms, status: 0
[01/07/2025 16:56:37.761] [Query70]duration: 3312ms, status: 0
[01/07/2025 16:56:39.838] [Query71]duration: 1979ms, status: 0
[01/07/2025 16:58:06.138] [Query72]duration: 86208ms, status: 0
[01/07/2025 16:58:08.707] [Query73]duration: 2481ms, status: 0
[01/07/2025 16:58:24.487] [Query74]duration: 15691ms, status: 0
[01/07/2025 16:59:11.619] [Query75]duration: 47042ms, status: 0
[01/07/2025 16:59:14.421] [Query76]duration: 2716ms, status: 0
[01/07/2025 16:59:16.788] [Query77]duration: 2268ms, status: 0
[01/07/2025 17:00:05.771] [Query78]duration: 48889ms, status: 0
[01/07/2025 17:00:10.392] [Query79]duration: 4528ms, status: 0
[01/07/2025 17:00:16.217] [Query80]duration: 5733ms, status: 0
[01/07/2025 17:00:17.564] [Query81]duration: 1258ms, status: 0
[01/07/2025 17:00:18.277] [Query82]duration: 613ms, status: 0
[01/07/2025 17:00:19.255] [Query83]duration: 888ms, status: 0
[01/07/2025 17:00:20.122] [Query84]duration: 764ms, status: 0
[01/07/2025 17:00:24.908] [Query85]duration: 4698ms, status: 0
[01/07/2025 17:00:25.643] [Query86]duration: 647ms, status: 0
[01/07/2025 17:00:35.720] [Query87]duration: 9986ms, status: 0
[01/07/2025 17:00:38.214] [Query88]duration: 2402ms, status: 0
[01/07/2025 17:00:41.801] [Query89]duration: 3499ms, status: 0
[01/07/2025 17:00:42.422] [Query90]duration: 523ms, status: 0
[01/07/2025 17:00:51.428] [Query91]duration: 8917ms, status: 0
[01/07/2025 17:00:52.044] [Query92]duration: 530ms, status: 0
[01/07/2025 17:00:54.781] [Query93]duration: 2641ms, status: 0
[01/07/2025 17:00:56.098] [Query94]duration: 1231ms, status: 0
[01/07/2025 17:00:57.476] [Query95]duration: 1293ms, status: 0
[01/07/2025 17:00:58.974] [Query96]duration: 1407ms, status: 0
[01/07/2025 17:01:32.981] [Query97]duration: 33920ms, status: 0
[01/07/2025 17:01:34.503] [Query98]duration: 1435ms, status: 0
[01/07/2025 17:04:35.035] [Query99]duration: 180442ms, status: 159
[01/07/2025 17:04:35.037] total duration: 920013ms
